sym_a,sym_b,eg_pvalue
DOGEUSDT,NEOUSDT,0.40015760844669135
MANAUSDT,POLYXUSDT,0.4006309662301115
FLOKIUSDT,SANDUSDT,0.4008822625335987
XRPUSDT,SHIBUSDT,0.4014742438894696
DOTUSDT,VTHOUSDT,0.40163805463037383
ONEUSDT,NEOUSDT,0.40373499450136247
VTHOUSDT,ZILUSDT,0.4038076094423982
ALGOUSDT,AAVEUSDT,0.4039552304119033
LINKUSDT,FILUSDT,0.40458845246960995
AAVEUSDT,POLYXUSDT,0.4049464511787578
LINKUSDT,GRTUSDT,0.4058331553160349
DOTUSDT,POLYXUSDT,0.4063459700030764
VETUSDT,AAVEUSDT,0.40732551536497125
ACHUSDT,IOTAUSDT,0.40739220195842746
AVAXUSDT,LTCUSDT,0.40904250705670064
AAVEUSDT,WAXPUSDT,0.4091543826674395
LINKUSDT,UNIUSDT,0.4093897017782973
XLMUSDT,ZRXUSDT,0.40966283985652285
XRPUSDT,SANDUSDT,0.4101189740566674
LTCUSDT,HBARUSDT,0.4104377214157954
ETHUSDT,SHIBUSDT,0.4109912452671616
ONEUSDT,LDOUSDT,0.41204717438857663
YFIUSDT,SUSHIUSDT,0.41206709545936154
VTHOUSDT,THETAUSDT,0.4123669203239821
ATOMUSDT,IOTAUSDT,0.4127508238990604
ADAUSDT,THETAUSDT,0.4129331601067014
ADAUSDT,LDOUSDT,0.4130242459457485
AAVEUSDT,FLOKIUSDT,0.41345754747145225
BNBUSDT,EGLDUSDT,0.4136369940695806
ADAUSDT,FLOKIUSDT,0.4136825861078894
LTCUSDT,NMRUSDT,0.4138673494935136
XRPUSDT,LDOUSDT,0.4146621123891169
ADAUSDT,YFIUSDT,0.41468861971309845
BTCUSDT,DOGEUSDT,0.4147071887645629
XLMUSDT,HBARUSDT,0.4150983895102374
ETHUSDT,FLOKIUSDT,0.4158855900729876
LINKUSDT,NEOUSDT,0.41656624525907027
XRPUSDT,NEOUSDT,0.4175582712652687
ZILUSDT,ZRXUSDT,0.41912899625553524
DOTUSDT,THETAUSDT,0.4193154387088165
FLOKIUSDT,THETAUSDT,0.4197078342357946
UNIUSDT,THETAUSDT,0.4200031524005003
AVAXUSDT,HBARUSDT,0.42103514342418413
ACHUSDT,POLYXUSDT,0.4213475816034643
HBARUSDT,ROSEUSDT,0.4214005772971
OPUSDT,NMRUSDT,0.42286630268697717
LINKUSDT,WAXPUSDT,0.4229150259597099
ATOMUSDT,AAVEUSDT,0.42407130094236545
ADAUSDT,ACHUSDT,0.4264332336677451
SANDUSDT,IMXUSDT,0.4270260364290521
XLMUSDT,RVNUSDT,0.4274144540852426
LTCUSDT,ZRXUSDT,0.42928637450603613
AVAXUSDT,AAVEUSDT,0.43078815296898143
VTHOUSDT,APEUSDT,0.43117027903141325
ADAUSDT,LTCUSDT,0.4330846948277771
LTCUSDT,OPUSDT,0.43470876240645406
XLMUSDT,POLYXUSDT,0.43475246442464144
LTCUSDT,EGLDUSDT,0.43496920786836274
LTCUSDT,ROSEUSDT,0.4350198951520846
XRPUSDT,UNIUSDT,0.43527764070408154
ADAUSDT,USDCUSDT,0.4355579209341091
BCHUSDT,FILUSDT,0.4359849950432706
ADAUSDT,BCHUSDT,0.43630539025216325
LTCUSDT,THETAUSDT,0.4369858754574477
WAXPUSDT,ACHUSDT,0.43704422574644297
LTCUSDT,NEARUSDT,0.4375495798937684
DOGEUSDT,ONEUSDT,0.43759347024319056
ALGOUSDT,FLOKIUSDT,0.43894077236950424
ONEUSDT,AAVEUSDT,0.4402689423338037
LTCUSDT,ATOMUSDT,0.4407753857583721
ACHUSDT,IMXUSDT,0.4420657535556064
MANAUSDT,NMRUSDT,0.442232303863939
ADAUSDT,XRPUSDT,0.44268935752790894
FETUSDT,NEOUSDT,0.44369222895331123
VETUSDT,SHIBUSDT,0.44431979465798094
LTCUSDT,DOTUSDT,0.4448715315965772
VTHOUSDT,OPUSDT,0.4457918528834553
ADAUSDT,UNIUSDT,0.4468307466183851
LTCUSDT,ONEUSDT,0.44824697668578123
LTCUSDT,RVNUSDT,0.44836293377401837
FLOKIUSDT,SUSHIUSDT,0.4485134254480849
AVAXUSDT,ALGOUSDT,0.44883346639655464
YFIUSDT,IOTAUSDT,0.44914111960231423
ADAUSDT,ROSEUSDT,0.4500554285591395
LTCUSDT,NEOUSDT,0.45040152378538256
FLOKIUSDT,UNIUSDT,0.4511522488087834
AVAXUSDT,ACHUSDT,0.45221991374007964
DOGEUSDT,EGLDUSDT,0.4530104670810303
VETUSDT,VTHOUSDT,0.45317652160338345
AVAXUSDT,SUSHIUSDT,0.45438388952094283
XRPUSDT,THETAUSDT,0.4544511674603932
ALGOUSDT,MANAUSDT,0.4546748580855183
FETUSDT,EGLDUSDT,0.4550961440870531
LTCUSDT,ALGOUSDT,0.4552357261976136
GRTUSDT,LDOUSDT,0.45559791073937816
VETUSDT,ROSEUSDT,0.45721749111945065
DOGEUSDT,HBARUSDT,0.45807281492597907
ALGOUSDT,LDOUSDT,0.4581928081024115
VTHOUSDT,FILUSDT,0.45881392992609854
LINKUSDT,APEUSDT,0.45895706313509704
VETUSDT,YFIUSDT,0.45916835916468834
AAVEUSDT,IOTAUSDT,0.4598935641310501
ALGOUSDT,THETAUSDT,0.462062060459399
ACHUSDT,ZRXUSDT,0.4627793977640071
LTCUSDT,SANDUSDT,0.4651460540715368
GALAUSDT,FLOKIUSDT,0.4663403984837448
XRPUSDT,GRTUSDT,0.46680407879099783
DOGEUSDT,ATOMUSDT,0.4672589055927788
BNBUSDT,THETAUSDT,0.46742890572058027
VTHOUSDT,UNIUSDT,0.46890755154826075
ACHUSDT,APEUSDT,0.4692240048393992
VTHOUSDT,NMRUSDT,0.4695754746256742
AVAXUSDT,LDOUSDT,0.46967250811984973
FETUSDT,SHIBUSDT,0.4727925472163927
BCHUSDT,THETAUSDT,0.47310627083977685
HBARUSDT,YFIUSDT,0.4736715692525304
FLOKIUSDT,IOTAUSDT,0.4743410700131464
EGLDUSDT,SUSHIUSDT,0.47491066912137003
SOLUSDT,DOTUSDT,0.4761333381547951
LTCUSDT,MANAUSDT,0.47625024490909734
BTCUSDT,SHIBUSDT,0.47793821620869786
DOTUSDT,LDOUSDT,0.4788548291949283
ZRXUSDT,MANAUSDT,0.4804568901418253
FLOKIUSDT,LDOUSDT,0.48069145546536496
AVAXUSDT,SHIBUSDT,0.48120051039224376
MANAUSDT,STORJUSDT,0.48218896419860197
DOGEUSDT,ZILUSDT,0.48273131422395565
XLMUSDT,WAXPUSDT,0.48384012456484043
XLMUSDT,FLOKIUSDT,0.48386316372245264
ATOMUSDT,SANDUSDT,0.4845669083332896
LTCUSDT,AAVEUSDT,0.4861809315501273
XRPUSDT,ZILUSDT,0.4866773703831618
FETUSDT,VETUSDT,0.4881378770704574
VETUSDT,OPUSDT,0.4887114909598221
FETUSDT,IMXUSDT,0.4908683187153044
NEARUSDT,ZILUSDT,0.49092538100944244
ALGOUSDT,GRTUSDT,0.49139179399077826
WAXPUSDT,APEUSDT,0.49245215892382976
VTHOUSDT,STORJUSDT,0.49453518362548765
BCHUSDT,NMRUSDT,0.49469441704857997
LTCUSDT,POLYXUSDT,0.4947873356692776
SOLUSDT,ZILUSDT,0.4954465159344144
ALGOUSDT,OPUSDT,0.49562027074126636
HBARUSDT,OPUSDT,0.4957946333982837
THETAUSDT,FILUSDT,0.4960047378675367
EGLDUSDT,APEUSDT,0.49646191156804653
LINKUSDT,LDOUSDT,0.4968672044640428
VTHOUSDT,ACHUSDT,0.49727401470539917
ADAUSDT,NEOUSDT,0.49744298690700656
VTHOUSDT,NEARUSDT,0.49779239572566725
ZRXUSDT,NMRUSDT,0.4980169099591883
ALGOUSDT,YFIUSDT,0.49891225502469627
SOLUSDT,FILUSDT,0.49930011863624574
UNIUSDT,OPUSDT,0.4999272256659978
FLOKIUSDT,GRTUSDT,0.5010445940353833
FETUSDT,YFIUSDT,0.5020662561109944
LTCUSDT,FILUSDT,0.5038725091338034
HBARUSDT,THETAUSDT,0.5040034272034274
AAVEUSDT,RVNUSDT,0.504544195572343
DOGEUSDT,DOTUSDT,0.5052605213102476
AAVEUSDT,SUSHIUSDT,0.5073992170353119
VTHOUSDT,BCHUSDT,0.5077887065222297
UNIUSDT,GRTUSDT,0.5078383619943464
DOTUSDT,IMXUSDT,0.5081809572920171
DOGEUSDT,ALGOUSDT,0.5087403134967989
BNBUSDT,NEOUSDT,0.5096812266899491
DOGEUSDT,BCHUSDT,0.5106334542134154
MANAUSDT,SANDUSDT,0.5108084367223742
ATOMUSDT,NEOUSDT,0.5109131220827177
USDCUSDT,BNBUSDT,0.5113837273617917
ADAUSDT,STORJUSDT,0.5156371501599412
BCHUSDT,SUSHIUSDT,0.5157755287013768
OPUSDT,ZILUSDT,0.5190282148130615
LTCUSDT,YFIUSDT,0.5201543934695555
DOGEUSDT,RVNUSDT,0.520455390746739
SOLUSDT,BNBUSDT,0.5207132429711723
ATOMUSDT,FLOKIUSDT,0.5211292321772661
EGLDUSDT,STORJUSDT,0.5212406621475908
MANAUSDT,IOTAUSDT,0.5218304780719478
DOGEUSDT,SANDUSDT,0.5225215184658547
AVAXUSDT,THETAUSDT,0.5228801316902063
AVAXUSDT,YFIUSDT,0.5245777568305118
SOLUSDT,SHIBUSDT,0.5253106715389204
ROSEUSDT,NMRUSDT,0.5257453796341894
HBARUSDT,LDOUSDT,0.5259788326157301
ALGOUSDT,UNIUSDT,0.5262780254113281
NEARUSDT,THETAUSDT,0.5266256425440068
XRPUSDT,WAXPUSDT,0.5279781793608935
MANAUSDT,SUSHIUSDT,0.5285504070162813
VETUSDT,GRTUSDT,0.5286658190823611
XLMUSDT,NEOUSDT,0.529597147299146
ACHUSDT,SANDUSDT,0.5295984501393466
GALAUSDT,SANDUSDT,0.5296151668905016
ACHUSDT,NEOUSDT,0.5305745954476561
LINKUSDT,AAVEUSDT,0.5308416529663744
ZILUSDT,POLYXUSDT,0.5320958393890932
XRPUSDT,BCHUSDT,0.5321552127777983
AAVEUSDT,STORJUSDT,0.5322356419537057
AAVEUSDT,APEUSDT,0.5336400984371548
ATOMUSDT,MANAUSDT,0.5339874596363512
POLYXUSDT,SUSHIUSDT,0.5347191820034253
ADAUSDT,NMRUSDT,0.5347448916019008
FLOKIUSDT,ZILUSDT,0.5347895323060724
ATOMUSDT,BCHUSDT,0.5350804185184956
FLOKIUSDT,APEUSDT,0.5351407860257857
ONEUSDT,NMRUSDT,0.5363079092727246
ADAUSDT,XLMUSDT,0.5367305077954617
ACHUSDT,RVNUSDT,0.536857848821704
YFIUSDT,APEUSDT,0.5373034346727414
VTHOUSDT,LDOUSDT,0.5377338674481825
VETUSDT,FILUSDT,0.5378125712419582
VETUSDT,THETAUSDT,0.5380099184109678
ATOMUSDT,LDOUSDT,0.5386820182251356
XRPUSDT,APEUSDT,0.5389865884578037
ATOMUSDT,DOTUSDT,0.5392497636297335
EGLDUSDT,ACHUSDT,0.5395615847833395
DOTUSDT,ZILUSDT,0.5399268731897543
ONEUSDT,MANAUSDT,0.5407166376521131
AAVEUSDT,ACHUSDT,0.5412334963141601
ALGOUSDT,NEARUSDT,0.5412739036083405
FLOKIUSDT,ACHUSDT,0.5415456435959761
DOGEUSDT,GRTUSDT,0.5422210765713816
NEARUSDT,AAVEUSDT,0.5427196520036607
BNBUSDT,AAVEUSDT,0.543585597800531
ACHUSDT,MANAUSDT,0.5440433670498978
ZILUSDT,NMRUSDT,0.544538719735135
ADAUSDT,VETUSDT,0.5446236130198849
WAXPUSDT,RVNUSDT,0.5473071968022353
ACHUSDT,NMRUSDT,0.5473395194070076
ONEUSDT,ROSEUSDT,0.5498293352107592
ZRXUSDT,STORJUSDT,0.5498909133651704
ATOMUSDT,OPUSDT,0.5515053110543942
DOTUSDT,ONEUSDT,0.5520058921301867
DOTUSDT,UNIUSDT,0.5521542544505816
ADAUSDT,APEUSDT,0.5522783515208461
XLMUSDT,YFIUSDT,0.5541295036047613
DOTUSDT,NEARUSDT,0.5546710680440251
ATOMUSDT,STORJUSDT,0.5557497993325372
BCHUSDT,GRTUSDT,0.5560906333492264
LTCUSDT,ZILUSDT,0.5567250960661995
ZILUSDT,STORJUSDT,0.5569403646365321
FILUSDT,NEOUSDT,0.5574039543853598
BCHUSDT,ROSEUSDT,0.5577083561094152
AVAXUSDT,UNIUSDT,0.5580979149328739
THETAUSDT,NMRUSDT,0.5600109962408367
LTCUSDT,WAXPUSDT,0.5602500884789647
DOGEUSDT,MANAUSDT,0.5610682029378029
VTHOUSDT,IOTAUSDT,0.5611841725750943
FETUSDT,ALGOUSDT,0.5617136576197085
LTCUSDT,GRTUSDT,0.5618209127234313
SOLUSDT,THETAUSDT,0.563055130303481
LTCUSDT,UNIUSDT,0.5635633992127289
AVAXUSDT,IOTAUSDT,0.5665683808583688
BNBUSDT,UNIUSDT,0.5667412649894947
RVNUSDT,FILUSDT,0.5677526800569738
ADAUSDT,BNBUSDT,0.5696373551330807
POLYXUSDT,NMRUSDT,0.5725838120526164
ALGOUSDT,NMRUSDT,0.5736876262640948
BCHUSDT,OPUSDT,0.5747077040582623
NEOUSDT,SUSHIUSDT,0.5762322870112674
LDOUSDT,NMRUSDT,0.5764933715228491
ADAUSDT,SANDUSDT,0.5767174601277499
ZILUSDT,IMXUSDT,0.5776829541593795
FLOKIUSDT,WAXPUSDT,0.5814955876420873
RVNUSDT,SANDUSDT,0.5816694061987138
ATOMUSDT,ROSEUSDT,0.5821168945468063
XRPUSDT,MANAUSDT,0.5822577810327003
HBARUSDT,FILUSDT,0.582744293113218
EGLDUSDT,IOTAUSDT,0.5829632455123368
MANAUSDT,FILUSDT,0.5842273957197587
ADAUSDT,MANAUSDT,0.5856518324122872
AVAXUSDT,EGLDUSDT,0.5858842728608409
BCHUSDT,AAVEUSDT,0.5869996596146836
VETUSDT,LDOUSDT,0.5878848892960132
ALGOUSDT,FILUSDT,0.5887489613131989
SOLUSDT,WAXPUSDT,0.589031727693546
DOTUSDT,YFIUSDT,0.5913693025749932
ATOMUSDT,ACHUSDT,0.5947461906450727
HBARUSDT,GRTUSDT,0.5961103417933196
HBARUSDT,UNIUSDT,0.5962038370504485
VTHOUSDT,RVNUSDT,0.5962770363250398
AVAXUSDT,APEUSDT,0.5963696026983187
ATOMUSDT,ZILUSDT,0.5985369121121499
DOTUSDT,FILUSDT,0.6002652376573895
GRTUSDT,ZRXUSDT,0.6005945702373854
ZILUSDT,IOTAUSDT,0.60100460017083
ONEUSDT,EGLDUSDT,0.6011131106566807
DOGEUSDT,XLMUSDT,0.6018646253455782
ATOMUSDT,GRTUSDT,0.602187828046064
VETUSDT,MANAUSDT,0.6024357678082148
BCHUSDT,SANDUSDT,0.603772190477124
BCHUSDT,NEARUSDT,0.6040064705302098
AVAXUSDT,VETUSDT,0.6050865196482784
FETUSDT,WAXPUSDT,0.6060473152739785
ADAUSDT,GRTUSDT,0.6064563073147837
DOGEUSDT,WAXPUSDT,0.6069338548465105
HBARUSDT,MANAUSDT,0.6077485314517088
ADAUSDT,NEARUSDT,0.6078337030679939
ONEUSDT,SANDUSDT,0.6078426097922301
SHIBUSDT,RVNUSDT,0.6078684510613583
ONEUSDT,NEARUSDT,0.6093537308147163
ACHUSDT,FILUSDT,0.6097553785848457
ZRXUSDT,SUSHIUSDT,0.6113099019794292
SOLUSDT,AAVEUSDT,0.6124111520394037
FETUSDT,SANDUSDT,0.6124321968231917
ZILUSDT,SUSHIUSDT,0.6124643844049357
FLOKIUSDT,MANAUSDT,0.612737708128053
ADAUSDT,OPUSDT,0.614732213783398
THETAUSDT,ZRXUSDT,0.6150359330873314
SOLUSDT,ONEUSDT,0.6151736721364718
BNBUSDT,ONEUSDT,0.6175922886996071
THETAUSDT,SANDUSDT,0.6176406599111104
ALGOUSDT,ZILUSDT,0.6176680143696127
DOTUSDT,FLOKIUSDT,0.6186398955108342
SOLUSDT,MANAUSDT,0.6188612985313547
SOLUSDT,ZRXUSDT,0.6191061797727521
AVAXUSDT,XLMUSDT,0.6204674043437362
USDCUSDT,ROSEUSDT,0.6206586966123734
LTCUSDT,APEUSDT,0.6235179579677124
NEARUSDT,FILUSDT,0.6236259000497671
ADAUSDT,SHIBUSDT,0.6242110769973064
AVAXUSDT,ROSEUSDT,0.6274192192480761
ADAUSDT,ONEUSDT,0.6276946647410708
ZRXUSDT,LDOUSDT,0.6277584881117138
AVAXUSDT,MANAUSDT,0.6280228703378044
BCHUSDT,ACHUSDT,0.6289822053172089
HBARUSDT,NEARUSDT,0.6299845067059195
VETUSDT,ONEUSDT,0.6314100757433168
BNBUSDT,GRTUSDT,0.631445463382155
AVAXUSDT,STORJUSDT,0.6322606511325712
ALGOUSDT,SUSHIUSDT,0.6326109179202919
FETUSDT,DOTUSDT,0.6327765160012082
SOLUSDT,HBARUSDT,0.6329893723961411
VETUSDT,UNIUSDT,0.6347647516002474
LDOUSDT,FILUSDT,0.6354274485170595
ONEUSDT,FILUSDT,0.6356468702900634
ZRXUSDT,RVNUSDT,0.6366203010826945
DOTUSDT,NMRUSDT,0.6367445259965461
FETUSDT,FILUSDT,0.6369160959695294
NEARUSDT,LDOUSDT,0.6376054090705938
MANAUSDT,RVNUSDT,0.6398634837419457
ATOMUSDT,NEARUSDT,0.6421775525718937
HBARUSDT,ONEUSDT,0.6428880113448108
USDCUSDT,AAVEUSDT,0.6444346597035362
ATOMUSDT,THETAUSDT,0.6462442141725535
ATOMUSDT,UNIUSDT,0.6487128193725125
ADAUSDT,ZILUSDT,0.6496240907677429
ATOMUSDT,XLMUSDT,0.6505705810657384
ADAUSDT,HBARUSDT,0.6508475127595692
ATOMUSDT,ONEUSDT,0.6508736778527071
BCHUSDT,IMXUSDT,0.6513203961092827
UNIUSDT,FILUSDT,0.6533312337143269
ATOMUSDT,NMRUSDT,0.6545332603035807
FETUSDT,ATOMUSDT,0.6547203217506634
BCHUSDT,EGLDUSDT,0.6576115200225874
ADAUSDT,FILUSDT,0.6578043148721515
BNBUSDT,MANAUSDT,0.6582709020425301
HBARUSDT,SUSHIUSDT,0.6617851903877996
GRTUSDT,POLYXUSDT,0.6646178988595719
HBARUSDT,BCHUSDT,0.6651072564159216
VETUSDT,NEARUSDT,0.6653560825322398
BNBUSDT,DOTUSDT,0.6680381510006993
ROSEUSDT,SANDUSDT,0.6697854779107705
ROSEUSDT,THETAUSDT,0.6699722471633807
FETUSDT,AAVEUSDT,0.6701852313030565
SOLUSDT,ALGOUSDT,0.6705022691286909
AVAXUSDT,ZILUSDT,0.675948156238245
NEARUSDT,ZRXUSDT,0.6765656953299333
BCHUSDT,ALGOUSDT,0.676706597395828
GRTUSDT,IMXUSDT,0.6770479433053118
BCHUSDT,MANAUSDT,0.6787551467374303
ZRXUSDT,APEUSDT,0.6835044851388021
ROSEUSDT,EGLDUSDT,0.6847578098677958
THETAUSDT,STORJUSDT,0.685828124405115
VETUSDT,NMRUSDT,0.6866899013693704
ZILUSDT,FILUSDT,0.6870563250151761
ALGOUSDT,ACHUSDT,0.6875443773295368
VETUSDT,ZILUSDT,0.6885384587743761
ALGOUSDT,IOTAUSDT,0.6889454122634135
DOTUSDT,XLMUSDT,0.6899123189088664
HBARUSDT,ACHUSDT,0.6904224621110364
ADAUSDT,ALGOUSDT,0.6917425122732795
GRTUSDT,YFIUSDT,0.6935740224812762
USDCUSDT,OPUSDT,0.6938679844915734
VETUSDT,XLMUSDT,0.6956909540411904
ATOMUSDT,RVNUSDT,0.6959296686396278
ALGOUSDT,STORJUSDT,0.6992487520691666
BCHUSDT,ZILUSDT,0.7003747580132994
ZRXUSDT,IOTAUSDT,0.7005553284203816
VETUSDT,LTCUSDT,0.700744406252028
USDCUSDT,NEOUSDT,0.7008302027451234
FILUSDT,SANDUSDT,0.7009972023169431
SOLUSDT,VTHOUSDT,0.7032680770476029
HBARUSDT,NMRUSDT,0.704811250586758
ZILUSDT,APEUSDT,0.7063930630968032
HBARUSDT,ZILUSDT,0.7067535457368656
FETUSDT,NEARUSDT,0.7068576107512533
BCHUSDT,NEOUSDT,0.7079594974264459
VETUSDT,ATOMUSDT,0.7097864876968643
LDOUSDT,STORJUSDT,0.7099764516440348
NEARUSDT,NMRUSDT,0.7105688750266683
NEARUSDT,UNIUSDT,0.7107812058038354
SUSHIUSDT,IMXUSDT,0.7121739634748874
UNIUSDT,SANDUSDT,0.7122170925954
OPUSDT,LDOUSDT,0.7158676799706352
AVAXUSDT,GRTUSDT,0.7174314024712443
ONEUSDT,ZRXUSDT,0.7175328738817266
AVAXUSDT,NMRUSDT,0.7181811170840405
BCHUSDT,ZRXUSDT,0.7198163882856741
BNBUSDT,NEARUSDT,0.7209062385179411
ROSEUSDT,GRTUSDT,0.7230506173428076
LDOUSDT,SANDUSDT,0.7260897354734559
VETUSDT,BCHUSDT,0.7267932008093192
THETAUSDT,NEOUSDT,0.7282733254841891
ADAUSDT,DOTUSDT,0.728856763431995
STORJUSDT,IOTAUSDT,0.7292619186683388
UNIUSDT,ROSEUSDT,0.729985420504088
SANDUSDT,SUSHIUSDT,0.7309908117354207
BNBUSDT,LDOUSDT,0.7346423663643987
NEARUSDT,EGLDUSDT,0.7356136715970567
DOTUSDT,BCHUSDT,0.7363386695137808
HBARUSDT,IOTAUSDT,0.7367200406799022
BCHUSDT,WAXPUSDT,0.738114333172168
POLYXUSDT,APEUSDT,0.7381666654284573
FETUSDT,LTCUSDT,0.7396157416938243
NEARUSDT,SANDUSDT,0.7397203807214707
NEARUSDT,MANAUSDT,0.7405683010733366
FETUSDT,OPUSDT,0.7416412174292957
FETUSDT,MANAUSDT,0.7418365320245226
BCHUSDT,YFIUSDT,0.7433254633196968
FETUSDT,ONEUSDT,0.7445044089828754
AVAXUSDT,DOGEUSDT,0.7465531274013346
DOTUSDT,SUSHIUSDT,0.74759795455338
XLMUSDT,APEUSDT,0.7477090292321091
GRTUSDT,STORJUSDT,0.7497598798909035
AVAXUSDT,DOTUSDT,0.7518143755745321
ONEUSDT,WAXPUSDT,0.755169475628048
ALGOUSDT,APEUSDT,0.7556784185979837
ONEUSDT,ALGOUSDT,0.756151199388081
USDCUSDT,NEARUSDT,0.7565940865305929
VETUSDT,ACHUSDT,0.757831289283366
BCHUSDT,POLYXUSDT,0.7578592263756525
VETUSDT,SUSHIUSDT,0.7581567694916929
ADAUSDT,GALAUSDT,0.7582334411291687
THETAUSDT,IMXUSDT,0.7582550727400688
AVAXUSDT,SANDUSDT,0.7590012644016004
NEARUSDT,FLOKIUSDT,0.7599092167853867
LDOUSDT,MANAUSDT,0.7619009572902316
ZILUSDT,ACHUSDT,0.7644189112770176
DOTUSDT,STORJUSDT,0.7674106101705083
AVAXUSDT,ONEUSDT,0.7689584194242822
SOLUSDT,POLYXUSDT,0.7712037381168331
NEARUSDT,YFIUSDT,0.7727821001096649
ONEUSDT,YFIUSDT,0.7741973072561483
SOLUSDT,LDOUSDT,0.7745022762494782
ONEUSDT,POLYXUSDT,0.7765297571841178
USDCUSDT,BCHUSDT,0.7769917614003137
HBARUSDT,STORJUSDT,0.7787267353377103
SOLUSDT,NMRUSDT,0.7798932331789696
DOGEUSDT,SHIBUSDT,0.7801069278653568
THETAUSDT,MANAUSDT,0.7803539634828147
SOLUSDT,FLOKIUSDT,0.7807060769872836
HBARUSDT,APEUSDT,0.7828636968675524
IOTAUSDT,POLYXUSDT,0.7829542767003634
FLOKIUSDT,RVNUSDT,0.7860280235490886
ONEUSDT,BCHUSDT,0.7861981306241732
BCHUSDT,APEUSDT,0.7869355616310552
THETAUSDT,IOTAUSDT,0.7875182962981392
BCHUSDT,FLOKIUSDT,0.7878927658867116
GRTUSDT,SUSHIUSDT,0.7879917600694094
UNIUSDT,EGLDUSDT,0.788589589017938
ONEUSDT,VTHOUSDT,0.7890721478073974
STORJUSDT,POLYXUSDT,0.7891325124588568
DOTUSDT,IOTAUSDT,0.7892338672806287
MANAUSDT,APEUSDT,0.7901135763807348
SOLUSDT,YFIUSDT,0.7905336800221421
ADAUSDT,DOGEUSDT,0.7906520937442231
FETUSDT,NMRUSDT,0.7909982978473464
GRTUSDT,IOTAUSDT,0.7922393283981595
AVAXUSDT,GALAUSDT,0.793903570945855
FETUSDT,ZILUSDT,0.794546716586148
VETUSDT,APEUSDT,0.7955793461910782
DOTUSDT,ACHUSDT,0.7956715343634855
EGLDUSDT,RVNUSDT,0.7972819890445839
USDCUSDT,VETUSDT,0.7975149078751321
USDCUSDT,UNIUSDT,0.800096638405823
SOLUSDT,UNIUSDT,0.8001661471208317
GRTUSDT,ACHUSDT,0.8010023944896294
THETAUSDT,POLYXUSDT,0.8019933978393443
NEARUSDT,WAXPUSDT,0.8029720167352759
AVAXUSDT,RVNUSDT,0.8031709885307894
AVAXUSDT,NEARUSDT,0.8034312065359692
DOTUSDT,APEUSDT,0.8074876168059724
ROSEUSDT,ZRXUSDT,0.8076062193430484
UNIUSDT,NEOUSDT,0.8089260065320312
ONEUSDT,STORJUSDT,0.8090323028604414
FETUSDT,ROSEUSDT,0.8130069303555907
BNBUSDT,ZRXUSDT,0.8139356016031867
SOLUSDT,FETUSDT,0.8144592239757712
VETUSDT,IOTAUSDT,0.8147688108494248
AVAXUSDT,OPUSDT,0.8157060182216496
NEARUSDT,POLYXUSDT,0.8175172004581602
BCHUSDT,RVNUSDT,0.8175578421641495
FILUSDT,POLYXUSDT,0.8198322269240514
LDOUSDT,IOTAUSDT,0.8218923639907464
LDOUSDT,SUSHIUSDT,0.823040242507473
ATOMUSDT,FILUSDT,0.8235545172326733
VETUSDT,STORJUSDT,0.8253122060332905
OPUSDT,POLYXUSDT,0.8269685343683227
BNBUSDT,YFIUSDT,0.8274954593906991
LDOUSDT,NEOUSDT,0.8343633889123365
OPUSDT,ZRXUSDT,0.8352927963519187
FETUSDT,THETAUSDT,0.8362325945841638
FETUSDT,UNIUSDT,0.8367155232401298
FETUSDT,SUSHIUSDT,0.8373549567536664
USDCUSDT,SANDUSDT,0.8395901465552595
ONEUSDT,FLOKIUSDT,0.8413044695236953
USDCUSDT,FLOKIUSDT,0.8429795659106005
FETUSDT,GRTUSDT,0.8442378217688336
ROSEUSDT,YFIUSDT,0.8455024547016039
SOLUSDT,XLMUSDT,0.8466957784236412
USDCUSDT,HBARUSDT,0.8468756930746469
FETUSDT,IOTAUSDT,0.847295154255175
FETUSDT,BCHUSDT,0.8490487657236673
AVAXUSDT,FILUSDT,0.8504883561385627
BNBUSDT,POLYXUSDT,0.8505581115318819
USDCUSDT,YFIUSDT,0.8505734943470813
FETUSDT,LDOUSDT,0.8510236126397717
ROSEUSDT,ZILUSDT,0.8525024976418782
USDCUSDT,ONEUSDT,0.8529761887517724
ADAUSDT,RVNUSDT,0.8546082646710143
ZILUSDT,RVNUSDT,0.8552113441631194
ONEUSDT,IMXUSDT,0.8560910255103267
USDCUSDT,DOTUSDT,0.8563886351566219
USDCUSDT,THETAUSDT,0.8588341157162405
UNIUSDT,STORJUSDT,0.8594910200454747
FETUSDT,ACHUSDT,0.85974816729832
USDCUSDT,FETUSDT,0.859807902136291
UNIUSDT,MANAUSDT,0.8602215455667406
STORJUSDT,NMRUSDT,0.8618030287869141
STORJUSDT,APEUSDT,0.862006057114473
FETUSDT,XLMUSDT,0.862387586853768
USDCUSDT,DOGEUSDT,0.8629240773677855
BNBUSDT,ZILUSDT,0.8629369681236787
ONEUSDT,SUSHIUSDT,0.8643139204720134
THETAUSDT,SUSHIUSDT,0.8648361038216048
USDCUSDT,LDOUSDT,0.8649475921479504
NMRUSDT,SANDUSDT,0.8649639564762012
SOLUSDT,IMXUSDT,0.8668402317428128
FETUSDT,GALAUSDT,0.8672366446919767
ONEUSDT,IOTAUSDT,0.8681564449671787
